product_url,product_name,price,rating,no_of_reviews,asin,description
https://www.amazon.in/AirCase-C34-Laptop-Backpack-Women/dp/B07QL8633G,"        AirCase Laptop Bag Backpack Case Pouch for Laptop Backpack for Men & Women,Premium Vegan Leather       ",999,4.0,961 ratings,B07QL8633G,"Innovative Design: AirCase Laptop Backpack is made of Premium Vegan Leather for your 15.6 Inch Laptop. This Laptop Backpack has 2 Front Pocket and 2 Main Compartment for Laptop, Tablet and other Main compartment for wallets dairy, clothes, etc. There is two way Cortical Tail Zipper with leather pull tail, Fashionable and Novel, keeping up with the current trend.    Large Storage: There is 2 Main Compartment One for 15.6 inch Laptop, Tablet with a secure Velcro closure and other for main compartment for your other belonging like Cloth, Wallet, Book, Diary, etc. There is also 2 front zipper pocket for Mobile, Charger, Power Adapter, Cable, Power Bank, Keys etc.convenient to carry at school college office travelling for students boys girls    Light weight & Durable: It is made of Premium Vegan Leather for 15.6 inch laptop. Ruggedized water-resistant base helps to protect from the elements. Water Resistant Base which protect your belonging from getting wet. waterproof latest smart stylish spacious rucksack luggage tourist travel bagpack.    Shoulder Straps: Breathable Mesh Padding at back which is design for back relief and shoulder straps for extra comfort with adjustable side straps for a better fit.    Specifications:- Work with -15.6"" Laptops and Under, CAPACITY- 22L, DIMENSIONS – 46-cm X 29-cm X 19-cm, WEIGHT - 0.58 kg, WARRANTY – 1 Year under Manufacturing Defect Only."
https://www.amazon.in/Red-Lemon-Backpack-Multifunctional-Charcoal/dp/B0BGSV19KZ,        Red Lemon Swiss Cut Design Medium 26 L Laptop Backpack Outdoor Backpack fits 15.6 inch Multifunctional Laptop Bag Backpack for Men and Women with USB port Anti Theft Travel Backpack       ,"1,899",4.4,425 ratings,B0BGSV19KZ,"PREMIUM MATERIAL: This multifunctional bag is made of quality Water Repellent polyester material in black color to protect your goods from water. For the inner lining, soft feel premium polyester is used. The hardware such as strengthened hooks, zippers and buckles used are wear resistant, smooth, and durable.     LARGE CAPACITY : Comes with 2 compartments with one separate cushioned laptop sleeve to hold 15. 6 inch Laptop. Additional front zipper pockets with an organiser to store magazine, pens, key,music, cosmetic, pen, charger, powerbank, cable etc. Side pockets for water bottles,umbrella. Back hidden anti theft pocket can hold your wallet,phone,etc     TROLLEY STRAP & CONVENIENCE : The insertible pull rod box design allows the bag to slide over the luggage handle for easy mobility during traveling. Comfortable airflow back ergonomics design with soft padding, gives you maximum back support. Breathable and adjustable shoulder straps relieve the stress of shoulder. Foam padded top handle for a long time carry on.     ONE YEAR WARRANTY: 1-year warranty on this bag against any manufacturing defects. Just keep your documents safe. Contact Red Lemon for any issues regarding the product and a resolution will be provided.; Lining texture: polyester     Water Resistance Level: Waterproof; Special Features: Laptop Compartment; Age Range Description: Adult; Pattern Name: Solid; Material Type: Nylon; Pocket Description: Utility Pocket"
https://www.amazon.in/Lino-Perros-Womens-Tote-Pink/dp/B07JN9G66H,        Lino Perros leatherette Tote Bag       ,"4,495",4.3,"2,533 ratings",B07JN9G66H,tote    trendy    premium    shoulder strap    printed
https://www.amazon.in/Nivia-Deflate-5180BK-Polyester-Round/dp/B07222KX3S,        NIVIA Deflate Round 01 Polyester Gym Bag/Unisex Gym Bags/Adjustable Shoulder Bag for Men/Duffle Gym Bags for Men/Carry Gym Accessories/Fitness Bag/Sports &Travel Bag/Gym kit Bag       ,449,4.2,"7,166 ratings",B07222KX3S,"Strong stitching at major stress points provide long-lasting durability against daily activities. Main compartment with zip closure    Durable zippers and enhanced by strong stitching at major stress points    Lightweight and fold-able, It's easy to fold up into small compact space.    Water-resistant finish to save inner items from water splashes .    Optimum quality of accessories and zipper for smoother functioning and high durability"
https://www.amazon.in/Fostelo-CATLIN-Womens-Handbag-Maroon/dp/B079MD5F7R,        Fostelo Handbag For Women And Girls | Ladies Purse Faux Leather Satchel Bag | Woman Gifts | Wedding Gifts For Women | Women 3 Compartments Bag | Travel Purse Hobo Bag | 5 Pockets Shoulder Bag       ,498,4.1,"8,913 ratings",B079MD5F7R,"Warranty :- 1 Year Warranty On Manufacturing Defects. 100% Quality Assured.    Dimensions (In Inches) :- 9"" Tall X 14"" Wide X 4"" Deep    Compartments :- 3 Zip Compartments And 1 Back Zip Pocket    Material :-100% PU | Colour :- Maroon"
https://www.amazon.in/NETTIE-Cotton-Carry-Strap-Drawstring/dp/B08LBT1R9J,        NETTIE Cotton Carry Bag with Strap and Drawstring for Yoga Mat- Big Size       ,198,4.1,979 ratings,B08LBT1R9J,About this item    PLEASE NOTE: Suitable for Yoga Mat With 5MM TO 10MM THICKNESS AND DIMENSIONS UP TO 2 FT WIDTH X 6 FT. LENGTH. Cotton carry bag for yoga mat for storing and carrying your yoga mat with ease    Made of premium grade cotton material    High quality drawstring rope for closure    Cross strap for carrying on shoulder with ease    Reinforced base with double-stitch for srtength and durability
https://www.amazon.in/Shalimar-Capacity-Travel-Storage-Duffel/dp/B09TPHFMX7,"        SHALIMAR large capacity Travel bag / Storage bag / Move-in bags/ Duffel Bag - Strong, Durable , Foldable and Water Resistant ( Pack of 1 ) ( Blue )       ",247,4.1,270 ratings,B09TPHFMX7,About this item    Easy Backpack to carry    Convenient Handles    Easy to fold and Store    Sturdy and Durable    Closure Type: Zipper; Strap Type: Adjustable; Handle Type: Web Handle
https://www.amazon.in/PETRICE-Multifunctional-Travel-Makeup-Organiser/dp/B07W22LC2D,        PETRICE Multifunctional Travel Bag Extra Large Makeup Organiser with Hook (Navy Blue)       ,499,4.2,"1,772 ratings",B07W22LC2D,"Dual zipper elegant design, foldable and lightweight toiletry storage bag, with top hanging handle and little hanging hook     Keep traveling comfortably, have all your necessities right at hand, no more digging or dumping everything out to find what you need     This bag made of nylon and pearl cotton cushion (durable and lightweight, waterproof) with highest standard workmanship     Our will be your best side kick for travel, business trip, outdoors activities, car, boat and simple at home's bathroom or closet; Makeup bag waterproof for men and women's     Pattern Name: Solid; Age Range Description: Adult"
https://www.amazon.in/EcoRight-Womens-Reusable-Ecofriendly-0202F01/dp/B06XRQRDCY,"        Eco Right Large Tote Bag for Women with Zip, Stylish Cotton Handbags, Canvas Tote Bags for College       ",519,4.1,"7,078 ratings",B06XRQRDCY,"Care Instructions: Machine Wash    SPACIOUS & STURDY: Measuring 17 inch x 14.5 inch in medium size with a 4 inch bottom gusset, these canvas tote bags for women stylish are light weight with an inner pocket to store your essentials.    CANVAS TOTE BAG WITH ZIP: These big ladies handbags for women come with zip closure & have a zippered pocket inside. It has ample capacity to fit your groceries, books & carry travelling essentials.    AESTHETIC HANDBAG : These shoulder bags for women with latest original graphic design give major boho Y2k fashion vibes & are just the right utility totebag for carrying laptop to work or school, Also makes a cute gifts for women & girls.    REUSABLE & EASY TO WASH: These cute printed cotton tote bags for women are machine washable & have multiple use, they can easily be used as beach bag, shopping bag with zip, side bag for college, gym, travel, office purse.    ECO FRIENDLY & ETHICAL: All our simple totes are vegan and made in ethically certified facilities (SEDEX 4-pillar) that run on solar power. All our cloth hand bags are packaged in recycled packaging. Quick delivery & easy return."
https://www.amazon.in/Motherly-Diaper-Bags-Travel-Basic/dp/B07PKQ3WJZ,"        Motherly Diaper Bags for Mom Travel Basic Edition (Navy Blue,Pack of 1)       ","1,516",4.5,"2,470 ratings",B07PKQ3WJZ,"Capacity: 19 liters, Weight: 566gm     What’s new: Well-researched, upgraded fabric and hardware (zippers, rivets, gauge buttons) which is exclusively used to save you those extra bucks while maintaining the highest quality standards!! Light-weighted. Won’t add bulk and yet durable to sustain heavy weight.KEEP HOT WATER OR MILK WARM - Warm time of hot water or milk stored in the milk bottle pockets is 2 hours.     Pattern Name: Solid; Lining Description: Polyurethane; Age Range Description: Adult     
 See more product details"
